
Setup complete, entering main loop...

cycle=0 time=0.0000000000000000e+00 dt=5.1985920166557699e-06
cycle=2000 time=1.0397184032025098e-02 dt=5.1985920153800840e-06
cycle=4000 time=2.0794368061517979e-02 dt=5.1985920140980294e-06
cycle=6000 time=3.1191552088399417e-02 dt=5.1985920127810405e-06
cycle=8000 time=4.1588736112630136e-02 dt=5.1985920114346130e-06
cycle=10000 time=5.1985920134106571e-02 dt=5.1985920100393380e-06
cycle=12000 time=6.2383104152779485e-02 dt=5.1985920086223612e-06
cycle=14000 time=7.2780288168548465e-02 dt=5.1985920071441066e-06
cycle=16000 time=8.3177472181349354e-02 dt=5.1985920056523138e-06
cycle=18000 time=9.3574656191090913e-02 dt=5.1985920040864184e-06
cycle=20000 time=1.0397184019768815e-01 dt=5.1985920025078692e-06
cycle=22000 time=1.1436902420106468e-01 dt=5.1985920008578041e-06
cycle=24000 time=1.2476620820111106e-01 dt=5.1985919991855036e-06
cycle=26000 time=1.3516339219776269e-01 dt=5.1985919974483525e-06
cycle=28000 time=1.4556057619089127e-01 dt=5.1985919956769491e-06
cycle=30000 time=1.5595776018043858e-01 dt=5.1985919938481829e-06
cycle=32000 time=1.6635494416626198e-01 dt=5.1985919919715323e-06
cycle=34000 time=1.7675212814830302e-01 dt=5.1985919900463493e-06
cycle=36000 time=1.8714931212641123e-01 dt=5.1985919880580843e-06
cycle=38000 time=1.9754649610052027e-01 dt=5.1985919860318002e-06
cycle=40000 time=2.0794368007048128e-01 dt=5.1985919839252928e-06
cycle=42000 time=2.1834086403620906e-01 dt=5.1985919817916430e-06
cycle=44000 time=2.2873804799756448e-01 dt=5.1985919795592064e-06
cycle=46000 time=2.3913523195443215e-01 dt=5.1985919773035492e-06
cycle=48000 time=2.4953241590669778e-01 dt=5.1985919749490602e-06
cycle=50000 time=2.5992959985420766e-01 dt=5.1985919725557991e-06
cycle=52000 time=2.7032678379687441e-01 dt=5.1985919700854088e-06
cycle=54000 time=2.8072396773452185e-01 dt=5.1985919675559880e-06
cycle=56000 time=2.9112115166706054e-01 dt=5.1985919649522138e-06
cycle=58000 time=3.0151833559429492e-01 dt=5.1985919622800468e-06
cycle=60000 time=3.1191551951614538e-01 dt=5.1985919595368451e-06
cycle=62000 time=3.2231270343239038e-01 dt=5.1985919567051233e-06
cycle=64000 time=3.3270988734294416e-01 dt=5.1985919538155907e-06
cycle=66000 time=3.4310707124758877e-01 dt=5.1985919508239364e-06
cycle=68000 time=3.5350425514621936e-01 dt=5.1985919477814863e-06
cycle=70000 time=3.6390143903860561e-01 dt=5.1985919446031418e-06
cycle=72000 time=3.7429862292461108e-01 dt=5.1985919413990448e-06
cycle=74000 time=3.8469580680405524e-01 dt=5.1985919380348434e-06
cycle=76000 time=3.9509299067673992e-01 dt=5.1985919346492154e-06
cycle=78000 time=4.0549017454254166e-01 dt=5.1985919311265037e-06
cycle=80000 time=4.1588735840120911e-01 dt=5.1985919275338049e-06
cycle=82000 time=4.2628454225260604e-01 dt=5.1985919238307023e-06
cycle=84000 time=4.3668172609645534e-01 dt=5.1985919200058327e-06
cycle=86000 time=4.4707890993270843e-01 dt=5.1985919162031528e-06
cycle=88000 time=4.5747609376112086e-01 dt=5.1985919121694210e-06
cycle=90000 time=4.6787327758149205e-01 dt=5.1985919081604284e-06
cycle=92000 time=4.7827046139375307e-01 dt=5.1985919040223777e-06
cycle=94000 time=4.8866764519768169e-01 dt=5.1985918998198347e-06
cycle=96000 time=4.9906482899311627e-01 dt=5.1985918954396021e-06
cycle=98000 time=5.0946201277969227e-01 dt=5.1985918910725467e-06
cycle=100000 time=5.1985919655703727e-01 dt=5.1985918862230357e-06
cycle=102000 time=5.3025638032489031e-01 dt=5.1985918815761571e-06
cycle=104000 time=5.4065356408291465e-01 dt=5.1985918764095068e-06
cycle=106000 time=5.5105074783087460e-01 dt=5.1985918715153471e-06
cycle=108000 time=5.6144793156863515e-01 dt=5.1985918662371451e-06
cycle=110000 time=5.7184511529561044e-01 dt=5.1985918606662416e-06
cycle=112000 time=5.8224229901158497e-01 dt=5.1985918552776518e-06
cycle=114000 time=5.9263948271655620e-01 dt=5.1985918496450385e-06
cycle=116000 time=6.0303666641022025e-01 dt=5.1985918439782204e-06
cycle=118000 time=6.1343385009233709e-01 dt=5.1985918382214499e-06
cycle=120000 time=6.2383103376243287e-01 dt=5.1985918318272380e-06
cycle=122000 time=6.3422821741993540e-01 dt=5.1985918256005167e-06
cycle=124000 time=6.4462540106445010e-01 dt=5.1985918187403935e-06
cycle=126000 time=6.5502258469563557e-01 dt=5.1985918124790675e-06
cycle=128000 time=6.6541976831361360e-01 dt=5.1985918054352219e-06
cycle=130000 time=6.7581695191729674e-01 dt=5.1985917984877205e-06
cycle=132000 time=6.8621413550717181e-01 dt=5.1985917913546273e-06
cycle=134000 time=6.9661131908244056e-01 dt=5.1985917841681813e-06
cycle=136000 time=7.0700850264303283e-01 dt=5.1985917763520602e-06
cycle=138000 time=7.1740568618798328e-01 dt=5.1985917686428280e-06
cycle=140000 time=7.2780286971695451e-01 dt=5.1985917602037557e-06
cycle=142000 time=7.3820005322931215e-01 dt=5.1985917522620121e-06

Terminating on wall-time limit
time=7.4091371812345941e-01 cycle=142522
tlim=2.0000000000000000e+00 nlim=-1

zone-cycles = 2335080448
cpu time used  = 3.5989138910000001e+03
zone-cycles/cpu_second = 6.4882920756716712e+05
