
Setup complete, entering main loop...

cycle=144000 time=7.4859723672450118e-01 dt=5.1985917425595377e-06
cycle=146000 time=7.5899442020083163e-01 dt=5.1985917336385037e-06
cycle=148000 time=7.6939160365839809e-01 dt=5.1985917237108032e-06
cycle=150000 time=7.7978878709681210e-01 dt=5.1985917144553868e-06
cycle=152000 time=7.9018597051548412e-01 dt=5.1985917040901506e-06
cycle=154000 time=8.0058315391421575e-01 dt=5.1985916943368119e-06
cycle=156000 time=8.1098033729193464e-01 dt=5.1985916834586981e-06
cycle=158000 time=8.2137752064892533e-01 dt=5.1985916730833373e-06
cycle=160000 time=8.3177470398352205e-01 dt=5.1985916614462074e-06
cycle=162000 time=8.4217188729640657e-01 dt=5.1985916507251573e-06
cycle=164000 time=8.5256907058593701e-01 dt=5.1985916388513071e-06
cycle=166000 time=8.6296625385278081e-01 dt=5.1985916274323340e-06
cycle=168000 time=8.7336343709473596e-01 dt=5.1985916146817293e-06
cycle=170000 time=8.8376062031183622e-01 dt=5.1985916020357756e-06
cycle=172000 time=8.9415780350286733e-01 dt=5.1985915894422829e-06
cycle=174000 time=9.0455498666914758e-01 dt=5.1985915762722428e-06
cycle=176000 time=9.1495216980863892e-01 dt=5.1985915631086985e-06
cycle=178000 time=9.2534935292154830e-01 dt=5.1985915494506311e-06
cycle=180000 time=9.3574653600565560e-01 dt=5.1985915350596514e-06
cycle=182000 time=9.4614371906186556e-01 dt=5.1985915204935147e-06
cycle=184000 time=9.5654090208782350e-01 dt=5.1985915057743292e-06
cycle=186000 time=9.6693808508474843e-01 dt=5.1985914905915525e-06
cycle=188000 time=9.7733526804965198e-01 dt=5.1985914751858714e-06
cycle=190000 time=9.8773245098374707e-01 dt=5.1985914580254150e-06
cycle=192000 time=9.9812963388384801e-01 dt=5.1985914423988337e-06
cycle=194000 time=1.0085268167507764e+00 dt=5.1985914244371316e-06
cycle=196000 time=1.0189239995825932e+00 dt=5.1985914072093801e-06
cycle=198000 time=1.0293211823788280e+00 dt=5.1985913885608139e-06
cycle=200000 time=1.0397183651378763e+00 dt=5.1985913703281841e-06
cycle=202000 time=1.0501155478595621e+00 dt=5.1985913521409476e-06
cycle=204000 time=1.0605127305458038e+00 dt=5.1985913334398272e-06
cycle=206000 time=1.0709099131936664e+00 dt=5.1985913141483978e-06
cycle=208000 time=1.0813070958026050e+00 dt=5.1985912946714189e-06
cycle=210000 time=1.0917042783712163e+00 dt=5.1985912727345285e-06
cycle=212000 time=1.1021014608964452e+00 dt=5.1985912529762755e-06
cycle=214000 time=1.1124986433810844e+00 dt=5.1985912297734325e-06
cycle=216000 time=1.1228958258183428e+00 dt=5.1985912084612907e-06
cycle=218000 time=1.1332930082109098e+00 dt=5.1985911824726910e-06
cycle=220000 time=1.1436901905537391e+00 dt=5.1985911604784658e-06
cycle=222000 time=1.1540873728493382e+00 dt=5.1985911330864046e-06
cycle=224000 time=1.1644845550881380e+00 dt=5.1985911057914887e-06
cycle=226000 time=1.1748817372703766e+00 dt=5.1985910752146538e-06
cycle=228000 time=1.1852789193984008e+00 dt=5.1985910519178893e-06
cycle=230000 time=1.1956761014704484e+00 dt=5.1985910127290138e-06
cycle=232000 time=1.2060732834732808e+00 dt=5.1985909926221965e-06
cycle=234000 time=1.2164704654234915e+00 dt=5.1985909574897034e-06
cycle=236000 time=1.2268676473019868e+00 dt=5.1985909203801083e-06
cycle=238000 time=1.2372648291139750e+00 dt=5.1985908935957881e-06
cycle=240000 time=1.2476620108733418e+00 dt=5.1985908644163942e-06
cycle=242000 time=1.2580591925659894e+00 dt=5.1985908296962706e-06
cycle=244000 time=1.2684563742037867e+00 dt=5.1985908047663020e-06
cycle=246000 time=1.2788535557752208e+00 dt=5.1985907652267007e-06
cycle=248000 time=1.2892507372778943e+00 dt=5.1985907354530987e-06
cycle=250000 time=1.2996479187131860e+00 dt=5.1985906978161206e-06
cycle=252000 time=1.3100451000772306e+00 dt=5.1985906648756869e-06
cycle=254000 time=1.3204422813684058e+00 dt=5.1985906278049088e-06
cycle=256000 time=1.3308394625890645e+00 dt=5.1985905917746463e-06
cycle=258000 time=1.3412366437300087e+00 dt=5.1985905501865847e-06
cycle=260000 time=1.3516338247895039e+00 dt=5.1985905074326797e-06
cycle=262000 time=1.3620310057673892e+00 dt=5.1985904711028327e-06
cycle=264000 time=1.3724281866645986e+00 dt=5.1985904239875728e-06
cycle=266000 time=1.3828253674660729e+00 dt=5.1985903790435583e-06
cycle=268000 time=1.3932225481834590e+00 dt=5.1985903353463135e-06
cycle=270000 time=1.4036197287998529e+00 dt=5.1985902847393162e-06
cycle=272000 time=1.4140169093290194e+00 dt=5.1985902397292830e-06
cycle=274000 time=1.4244140897572637e+00 dt=5.1985901910654911e-06
cycle=276000 time=1.4348112700858846e+00 dt=5.1985901336878646e-06
cycle=278000 time=1.4452084503043885e+00 dt=5.1985900863433977e-06
cycle=280000 time=1.4556056304234384e+00 dt=5.1985900278238776e-06
cycle=282000 time=1.4660028104236498e+00 dt=5.1985899772812319e-06
cycle=284000 time=1.4763999903212399e+00 dt=5.1985899162171419e-06
cycle=286000 time=1.4867971700939935e+00 dt=5.1985898594429570e-06
cycle=288000 time=1.4971943497574216e+00 dt=5.1985897997140653e-06
cycle=290000 time=1.5075915292920887e+00 dt=5.1985897330190273e-06

Terminating on wall-time limit
time=1.5079814235219733e+00 cycle=290075
tlim=2.0000000000000000e+00 nlim=-1

zone-cycles = 2417508352
cpu time used  = 3.5988940029999999e+03
zone-cycles/cpu_second = 6.7173646958893223e+05
